AssignmentID,StudentID,EarnedPoints,ExtraPoints,NoteID
1,1,1,,
1,2,1,,
1,3,1,,
1,4,1,,
1,5,1,,
1,6,1,,
1,7,1,,
1,8,1,,
1,9,1,,
1,10,1,,
1,11,1,,
1,12,1,,
1,13,1,,
1,14,1,,
1,15,1,,
1,16,1,,
1,17,1,,
1,18,1,,
1,19,1,,
1,20,1,,
1,21,1,,
1,22,1,,
1,23,1,,
1,24,1,,
1,25,1,,
1,26,1,,
1,27,1,,
1,28,1,,
1,29,1,,
1,30,1,,
9,1,17,,
9,2,18,,
9,3,11,5,
9,4,15,3,
9,5,19,,
9,6,19,,
9,7,19,,
9,8,18,1,
9,9,15,3,
9,10,17,2,
9,11,20,,
9,12,20,,
9,13,18,1,
9,14,19,1,
9,15,11,5,
9,16,20,,
9,17,10,4,
9,18,17,2,
9,19,14,3,
9,20,17,,
9,21,14,3,
9,22,20,,
9,23,20,,
9,24,17,,
9,25,20,,
9,26,19,,
9,27,20,,
9,28,19,,
9,29,20,,
9,30,20,,
10,1,13,4,
10,2,13,4,
10,3,11,5,
10,4,17,2,
10,5,17,,
10,6,0,,
10,7,20,,
10,8,15,3,
10,9,15,3,
10,10,17,2,
10,11,19,,
10,12,20,,
10,13,17,2,
10,14,16,2,
10,15,10,5,
10,16,20,,
10,17,13,,
10,18,15,3,
10,19,13,3,
10,20,13,4,
10,21,15,3,
10,22,16,2,
10,23,17,2,
10,24,12,4,
10,25,17,2,
10,26,19,,
10,27,11,5,
10,28,20,,
11,1,15,,
11,2,15,,
11,3,12,4,
11,4,16,2,
11,5,14,3,
11,6,0,,
11,7,20,,
11,8,16,2,
11,9,19,,
11,10,13,4,
11,11,19,,
11,12,20,,
11,13,14,3,
11,14,19,1,
11,15,12,4,
11,16,19,,
11,17,17,,
11,18,12,4,
11,19,11,,
11,20,16,2,
11,21,12,4,
11,22,11,5,
11,23,20,,
11,24,8,,
11,25,14,,
11,26,16,,
11,27,14,,
11,28,19,,
12,1,20,,
12,2,20,,
12,3,9,6,
12,4,14,2,
12,5,19,,
12,6,0,,
12,7,20,,
12,8,17,2,
12,9,20,,
12,10,18,1,
12,11,20,,
12,12,20,,
12,13,20,,
12,14,9,6,
12,15,18,,
12,16,20,,
12,17,17,,
12,18,20,,
12,19,18,1,
12,20,18,,
12,21,0,,
12,22,18,,
12,23,20,,
12,24,17,,
12,25,20,,
12,26,20,,
12,27,20,,
12,28,20,,
2,1,1,,
2,2,1,,
2,3,1,,
2,4,1,,
2,5,1,,
2,6,0,,
2,7,1,,
2,8,1,,
2,9,1,,
2,10,1,,
2,11,1,,
2,12,1,,
2,13,1,,
2,14,1,,
2,15,1,,
2,16,1,,
2,17,1,,
2,18,1,,
2,19,1,,
2,20,1,,
2,21,1,,
2,22,1,,
2,23,1,,
2,24,1,,
2,25,1,,
2,26,1,,
2,27,1,,
2,28,1,,
3,1,1,,
3,2,1,,
3,3,1,,
3,4,1,,
3,5,1,,
3,6,0,,
3,7,1,,
3,8,1,,
3,9,1,,
3,10,1,,
3,11,1,,
3,12,1,,
3,13,1,,
3,14,1,,
3,15,1,,
3,16,1,,
3,17,1,,
3,18,1,,
3,19,1,,
3,20,1,,
3,21,0,,
3,22,1,,
3,23,1,,
3,24,1,,
3,25,1,,
3,26,1,,
3,27,1,,
3,28,1,,
4,1,1,,
4,2,1,,
4,3,1,,
4,4,1,,
4,5,1,,
4,6,0,,
4,7,1,,
4,8,1,,
4,9,1,,
4,10,1,,
4,11,1,,
4,12,1,,
4,13,1,,
4,14,1,,
4,15,1,,
4,16,1,,
4,17,1,,
4,18,1,,
4,19,1,,
4,20,0,,
4,21,0,,
4,22,1,,
4,23,1,,
4,24,0,,
4,25,1,,
4,26,1,,
4,27,1,,
4,28,1,,
19,1,10,,
19,2,10,,
19,3,10,,
19,4,10,,
19,5,10,,
19,6,0,,
19,7,10,,
19,8,10,,
19,9,10,,
19,10,10,,
19,11,10,,
19,12,10,,
19,13,10,,
19,14,10,,
19,15,10,,
19,16,10,,
19,17,10,,
19,18,10,,
19,19,10,,
19,20,10,,
19,21,10,,
19,22,0,,
19,23,10,,
19,24,10,,
19,25,10,,
19,26,10,,
19,27,10,,
19,28,10,,
13,1,17,,
13,2,18,,
13,3,15,3,
13,4,14,3,
13,5,16,,
13,6,0,,
13,7,20,,
13,8,19,1,
13,9,20,,
13,10,16,2,
13,11,19,,
13,12,19,,
13,13,17,2,
13,14,18,1,
13,15,20,,
13,16,20,,
13,17,13,4,
13,18,14,3,
13,19,17,2,
13,20,0,,
13,21,0,,
13,22,19,,
13,23,18,,
13,24,0,,
13,25,15,,
13,26,16,2,
13,27,20,,
13,28,19,,
14,1,20,,
14,2,17,,
14,3,15,,
14,4,14,,
14,5,19,,
14,6,0,,
14,7,18,,
14,8,15,3,
14,9,20,,
14,10,13,4,
14,11,20,,
14,12,15,3,
14,13,17,2,
14,14,20,,
14,15,19,,
14,16,20,,
14,17,18,,
14,18,17,2,
14,19,16,2,
14,20,19,,
14,21,14,3,
14,22,11,5,
14,23,18,,
14,24,13,,
14,25,17,,
14,26,16,2,
14,27,18,,
14,28,17,,
6,1,1,,
6,2,1,,
6,3,1,,
6,4,1,,
6,5,0,,
6,6,0,,
6,7,1,,
6,8,1,,
6,9,1,,
6,10,1,,
6,11,1,,
6,12,1,,
6,13,1,,
6,14,1,,
6,15,1,,
6,16,1,,
6,17,0,,
6,18,0,,
6,19,1,,
6,20,1,,
6,21,1,,
6,22,1,,
6,23,0,,
6,24,1,,
6,25,1,,
6,26,1,,
6,27,1,,
6,28,1,,
5,1,1,,
5,2,1,,
5,3,1,,
5,4,1,,
5,5,1,,
5,6,0,,
5,7,1,,
5,8,1,,
5,9,1,,
5,10,1,,
5,11,1,,
5,12,1,,
5,13,1,,
5,14,1,,1
5,15,1,,
5,16,1,,
5,17,1,,
5,18,1,,
5,19,1,,
5,20,1,,
5,21,1,,
5,22,1,,
5,23,1,,
5,24,1,,
5,25,1,,
5,26,1,,
5,27,1,,
5,28,1,,
20,1,10,,
20,2,10,,
20,3,8,,
20,4,10,,
20,5,10,,
20,6,0,,
20,7,7,,
20,8,10,,
20,9,9,,
20,10,8,,
20,11,10,,
20,12,5,,
20,13,8,,
20,14,8,,
20,15,10,,
20,16,10,,
20,17,10,,
20,18,7,,
20,19,9,,
20,20,10,,
20,21,7,,
20,22,10,,
20,23,10,,
20,24,7,,
20,25,6,,
20,26,10,,
20,27,10,,
20,28,10,,
7,1,1,,
7,2,1,,
7,3,1,,
7,4,1,,
7,5,1,,
7,6,0,,
7,7,1,,
7,8,1,,
7,9,1,,
7,10,1,,
7,11,1,,
7,12,1,,
7,13,1,,
7,14,1,,
7,15,1,,
7,16,1,,
7,17,1,,
7,18,1,,
7,19,1,,
7,20,0,,
7,21,1,,
7,22,1,,
7,23,1,,
7,24,1,,
7,25,1,,
7,26,1,,
7,27,1,,
7,28,0,,
16,1,16,2,
16,2,16,,
16,3,16,2,
16,4,15,3,
16,5,15,,
16,6,0,,
16,7,18,,
16,8,15,3,
16,9,13,,
16,10,17,2,
16,11,18,,
16,12,20,,
16,13,17,1,
16,14,15,3,
16,15,15,,
16,16,20,,
16,17,15,3,
16,18,17,2,
16,19,14,3,
16,20,0,,
16,21,12,4,
16,22,15,,
16,23,16,,
16,24,18,,
16,25,15,,
16,26,18,,
16,27,18,,
16,28,20,,
17,1,16,,
17,2,15,,
17,3,14,,
17,4,18,,
17,5,20,,
17,6,0,,
17,7,15,,
17,8,14,,
17,9,13,,
17,10,17,,
17,11,16,,
17,12,15,,
17,13,12,,
17,14,15,,
17,15,15,,
17,16,0,,
17,17,16,,
17,18,15,,
17,19,14,,
17,20,20,,
17,21,15,,
17,22,20,,
17,23,12,,
17,24,0,,
17,25,17,,
17,26,10,,
17,27,0,,
17,28,15,,
8,1,1,,
8,2,1,,
8,3,1,,
8,4,1,,
8,5,1,,
8,6,0,,
8,7,1,,
8,8,1,,
8,9,1,,
8,10,1,,
8,11,1,,
8,12,1,,
8,13,1,,
8,14,1,,
8,15,1,,
8,16,0,,
8,17,1,,
8,18,1,,
8,19,1,,
8,20,1,,
8,21,1,,
8,22,1,,
8,23,1,,
8,24,0,,
8,25,1,,
8,26,1,,
8,27,0,,
8,28,1,,
22,1,56,,
22,2,48,,
22,3,41,,
22,4,41,,
22,5,50,,
22,6,0,,
22,7,60,,
22,8,53,,
22,9,53,,
22,10,40,,
22,11,58,,
22,12,60,,
22,13,50,,
22,14,60,,
22,15,58,,
22,16,56,,
22,17,52,,
22,18,55,,
22,19,54,,
22,20,47,,
22,21,50,,
22,22,43,,
22,23,49,,
22,24,29,,
22,25,49,,
22,26,53,,
22,27,52,,
22,28,58,,
21,1,10,,
21,2,10,,
21,3,10,,
21,4,10,,
21,5,10,,
21,6,0,,
21,7,10,,
21,8,10,,
21,9,10,,
21,10,10,,
21,11,10,,
21,12,9,,2
21,13,10,,
21,14,10,,
21,15,10,,
21,16,10,,
21,17,10,,
21,18,10,,
21,19,10,,
21,20,10,,
21,21,9,,3
21,22,10,,
21,23,10,,
21,24,10,,
21,25,9,,
21,26,10,,
21,27,10,,
21,28,10,,